trialNumber,stimulus,trueState,userChoice,outcome,reactionTime,isRuleChange,modelChoice,modelIsCorrect
1,,0,0,win,2371,false,,
2,,0,0,win,471,false,,
3,,0,0,win,310,false,,
4,,0,0,loss,248,false,,
5,,0,1,loss,718,false,,
6,,0,0,win,212,false,,
7,,0,0,win,342,false,,
8,,0,0,loss,739,false,,
9,,0,0,win,403,false,,
10,,0,0,win,410,false,,
11,,0,0,win,542,false,,
12,,0,0,win,104,false,,
13,,0,0,win,571,false,,
14,,0,0,loss,194,false,,
15,,1,1,win,341,true,,
16,,1,1,win,418,false,,
17,,1,1,loss,380,false,,
18,,1,1,win,347,false,,
19,,1,1,win,109,false,,
20,,1,1,win,241,false,,
21,,1,1,loss,168,false,,
22,,1,1,win,201,false,,
23,,1,1,win,105,false,,
24,,0,1,loss,256,true,,
25,,0,1,loss,207,false,,
26,,0,0,win,442,false,,
27,,0,0,loss,131,false,,
28,,0,1,loss,355,false,,
29,,0,0,win,41,false,,
30,,0,0,win,429,false,,
31,,0,0,win,115,false,,
32,,0,0,win,152,false,,
33,,0,0,loss,92,false,,
34,,0,0,win,423,false,,
35,,0,0,win,163,false,,
36,,0,0,win,237,false,,
37,,0,0,loss,140,false,,
38,,0,1,loss,336,false,,
39,,1,1,loss,467,true,,
40,,1,0,loss,78,false,,
41,,1,0,loss,354,false,,
42,,1,1,win,140,false,,
43,,1,1,win,195,false,,
44,,1,1,loss,131,false,,
45,,1,0,loss,374,false,,
46,,1,1,win,77,false,,
47,,1,1,win,129,false,,
48,,1,1,win,337,false,,
49,,1,1,win,205,false,,
50,,1,1,win,751,false,,